year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2080,7802939238.153118,2523762218.996824,42265420422.80335,13670216821.826122,-34462481184.65023,-11146454602.829298,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0,5
2081,7845340425.863225,2487721909.837517,42275862079.054756,13405484356.62836,-34430521653.19153,-10917762446.790844,0.0,0.0,0.0,1.1038003332025306e+16,3422124908727254.0,5
2082,7890757606.549971,2453062247.151516,42282035558.94228,13144550920.720572,-34391277952.39232,-10691488673.569056,0.0,0.0,0.0,1.1281280925463144e+16,3428969158544708.5,5
2083,7939308753.319341,2419760515.9550023,42281360312.71338,12886608825.081358,-34342051559.394043,-10466848309.126356,0.0,0.0,0.0,1.1529920357060352e+16,3435827096861798.0,5
2084,8023798025.446949,2397560144.9073844,42295045571.46997,12638019460.06105,-34271247546.02302,-10240459315.153666,0.0,0.0,0.0,1.1784039801729962e+16,3442698751055521.5,5
2085,8104120338.169779,2374079358.251086,42293891578.42051,12389877097.890406,-34189771240.250736,-10015797739.63932,0.0,0.0,0.0,1.204376003896009e+16,3449584148557632.5,5
2086,8180521131.137585,2349471329.9979157,42275855667.05145,12141758360.943811,-34095334535.913868,-9792287030.945896,0.0,0.0,0.0,1.2309204510218772e+16,3456483316854748.0,5
2087,8253278366.246605,2323889643.284666,42238935018.82198,11893288857.80144,-33985656652.57538,-9569399214.516773,0.0,0.0,0.0,1.2580499377623994e+16,3463396283488457.5,5
2088,8322704571.62444,2297488331.5215673,42181160698.79075,11644138474.63922,-33858456127.16631,-9346650143.117653,0.0,0.0,0.0,1.2857773583906828e+16,3470323076055434.5,5
2089,8394734260.6147,2271933506.664071,41976859990.48684,11360530513.082638,-33582125729.872147,-9088597006.418568,0.0,0.0,0.0,1.3141158913696134e+16,3477263722207545.5,5
2090,8462224219.855435,2245292989.7614465,41789172779.45399,11087975720.317278,-33326948559.59855,-8842682730.555832,0.0,0.0,0.0,1.3430790056153996e+16,3484218249651960.5,5
2091,8527290867.360314,2218193341.3844104,41616076622.312065,10825537148.204733,-33088785754.951748,-8607343806.820322,0.0,0.0,0.0,1.3726804668991632e+16,3491186686151264.5,5
2092,8590590694.440979,2190842593.1325283,41455699095.888885,10572370927.43006,-32865108401.447906,-8381528334.297531,0.0,0.0,0.0,1.4029343443896208e+16,3498169059523567.0,5
2093,8652590894.151712,2163386657.236718,41306547688.023155,10327777566.044561,-32653956793.871445,-8164390908.807843,0.0,0.0,0.0,1.433855017339968e+16,3505165397642614.0,5
2023,1820409448.3256006,1820409448.3256006,2651540206.87046,2651540206.87046,-831130758.5448594,-831130758.5448594,88218869241.45514,88218869241.45514,33.27080200891143,2100000000000000.0,2100000000000000.0,6
2024,9061352300.944956,8883678726.416624,2991457123.871422,2932801101.8347273,6069895177.073535,5950877624.581897,94288764418.52867,92439965116.20457,31.519343421678062,2186977799999999.8,2139899999999999.8,6
2025,3986422493.597726,3831624849.6710167,3362547973.580077,3231976137.62022,623874520.0176487,599648712.0507965,94912638938.54633,91227065492.64352,28.22640440650535,2277558046520399.5,2180558099999999.5,6
2026,11927588952.975212,11239633467.68514,3766769249.600578,3549510792.983636,8160819703.374634,7690122674.701505,103073458641.92096,97128422177.2932,27.36388979835988,2371889945691181.0,2221988703899999.2,6
2027,15740552250.877033,14541837200.104101,4206164845.5532637,3885846153.677902,11534387405.32377,10655991046.426199,114607846047.24474,105879934357.49797,27.247587827758956,2470128883461818.5,2264206489274099.0,6
2028,17869292041.873383,16184768352.173248,4675713742.026068,4234937994.098137,13193578299.847313,11949830358.075111,127801424347.09204,115753687571.30841,27.333030078037556,2572436681557039.5,2307226412570306.5,6
2029,9188768484.866764,8159363452.096062,5178415513.720413,4598284781.252735,4010352971.1463504,3561078670.8433266,131811777318.23839,117045086093.69469,25.454075087060502,2678981864033769.0,2351063714409142.0,6
2030,11258006894.537611,9800772492.945335,5715957797.838782,4976085241.436124,5542049096.698829,4824687251.509212,137353826414.93721,119574771657.09224,24.029888125988442,2789939934878319.5,2395733924982915.5,6
2031,16278072820.829046,13893178414.109047,6216876611.14029,5306044326.485249,10061196209.688755,8587134087.623798,147415022624.62598,125817302378.8907,23.712071486261543,2903214620967106.5,2439815429202601.0,6
2032,12778630786.796309,10692586601.494282,6746414534.174623,5645097887.230453,6032216252.621686,5047488714.263829,153447238877.24765,128397785164.15666,22.745005973164805,3018717504990680.0,2483244143842407.5,6
2033,15593482870.577602,12792087162.01069,7525254294.843468,6173329566.9030485,8068228575.734135,6618757595.107642,161515467452.98178,132498939128.59456,21.463124184874,3136351130222557.5,2525955943116497.0,6
2034,3517142670.338864,2828707852.9714217,8343651067.072455,6710490164.33766,-4826508396.733592,-3881782311.366238,156688959056.2482,126019138402.94217,18.779423755459828,3256008947634718.0,2567886811772230.5,6
2035,32053940743.577484,25274313526.809647,9217110793.16585,7267628958.991299,22836829950.411636,18006684567.818348,179525789006.65985,141554859472.66364,19.477447221288873,3377575297703607.5,2608973000760586.0,6
2036,22507473198.953205,17399008840.158463,10148297649.225107,7844964157.044473,12359175549.728098,9554044683.11399,191884964556.38794,148333318675.92148,18.908093868437106,3500925428399838.0,2649151184972299.0,6
2037,1335408517.9526563,1012072763.3787804,11139958203.275541,8442696097.219967,-9804549685.322886,-7430623333.841187,182080414871.06506,137994198897.45435,16.344802336648534,3625925550709803.0,2688358622509889.0,6
2038,5305652536.894615,3942177987.1136527,12190710346.18854,9057877356.241522,-6885057809.293924,-5115699369.127869,175195357061.77115,130172730922.49405,14.371218090383591,3752432932877891.5,2726533314949529.5,6
2039,17904757729.44556,13042645813.582197,13290795620.821407,9681624430.91883,4613962108.624155,3361021382.6633663,179809319170.3953,130981345816.48106,13.52886044599959,3880296034384485.0,2763614168032843.5,6
2040,3877766989.5207043,2769356009.8780446,14442386005.595083,10314211397.863508,-10564619016.074379,-7544855387.985464,169244700154.32092,120868228745.81949,11.718610767552835,4009354680488112.5,2799541152217270.0,6
2041,26163272303.601906,18318460383.145306,15577755222.343004,10906911359.843147,10585517081.258902,7411549023.302158,179830217235.57983,125909812499.59578,11.544039219312634,4140252092096688.0,2834255462504764.0,6
2042,15452214415.936865,10606875281.663868,16764278337.156406,11507516315.97369,-1312063921.2195413,-900641034.3098221,178518153314.3603,122540351612.3527,10.64872282147046,4272889208119097.5,2867699676962320.5,6
2043,22092456948.9161,14867590204.544436,17999304216.191505,12113015753.387877,4093152732.724595,2754574451.156559,182611306047.0849,122892174071.1102,10.145464727620668,4407160478595033.0,2899817913344299.0,6
2044,-10258285629.10912,-6768168779.632148,19327850869.192234,12752048593.680416,-29586136498.301357,-19520217373.312565,153025169548.78354,100962306225.81506,7.9173401421830665,4542953907261503.0,2930555983225748.5,6
2045,11039525024.429611,7140795725.269276,20715727576.374176,13399741256.608877,-9676202551.944567,-6258945531.3396015,143348966996.83896,92723707631.22418,6.919813290088118,4680151115260800.0,2959861543058006.0,6
2046,19594283909.13994,12425831094.028374,22165099651.215816,14056129110.175995,-2570815742.07588,-1630298016.1476212,140778151254.7631,89275297700.73883,6.3513430334178995,4818627426459137.0,2987684241562751.5,6
2047,20678441261.339577,12856231269.256039,23678194566.975796,14721242357.885654,-2999753305.6362166,-1865011088.6296158,137778397949.12686,85659790578.7614,5.81878814955291,4958251974768217.0,3013975862888503.5,6
2048,9915270828.825487,6043663659.817649,25257306568.41237,15395108059.844007,-15342035739.586882,-9351444400.02636,122436362209.53998,74628742441.89658,4.847562105559703,5098887833780542.0,3038690464964189.0,6
2049,13032519188.568651,7787963496.259558,26426239556.012993,15791773334.671999,-13393720367.444344,-8003809838.412441,109042641842.09564,65161623928.15283,4.1263018754889105,5240392168943620.0,3061784512497917.0,6
2050,14326361727.61654,8393271564.145643,27619987868.560837,16181502546.620905,-13293626140.944298,-7788230982.475262,95749015701.15134,56095714045.12555,3.466656689235556,5382616412408749.0,3083217004085402.0,6
2051,-298568454.0487132,-171490122.30269146,28649725772.260815,16455673430.99807,-28948294226.30953,-16627163553.300762,66800721474.84181,38368634530.155655,2.331635632600696,5527053541219325.0,3103874558012774.0,6
2052,13272836664.091816,7474097671.15894,29685296180.861214,16716155609.244026,-16412459516.7694,-9242057938.085087,50388261958.07241,28374250424.812614,1.6974148295868736,5673675217560791.0,3123739355184055.5,6
2053,11599836514.65179,6403932056.665454,30737513018.264668,16969286137.02498,-19137676503.612877,-10565354080.359528,31250585454.459534,17252538492.986168,1.016692060801731,5822450329115670.0,3142794165250678.0,6
2054,5724317811.539016,3098263944.1371436,31815284740.566,17219894637.130676,-26090966929.026985,-14121630692.993532,5159618525.4325485,2792622731.5027137,0.16217420549607056,5973344951845031.0,3161022371409132.0,6
2055,7656483374.383232,4062785066.2780313,32919968659.37056,17468431721.424004,-25263485284.98733,-13405646655.145973,0.0,0.0,0.0,6126322316061783.0,3178407994451882.5,6
2056,7868772808.504798,4093561676.4783144,34024073163.715504,17700300335.28768,-26155300355.21071,-13606738658.809368,0.0,0.0,0.0,6281342775947411.0,3194935716023032.5,6
2057,7847044237.426676,4002213578.00459,35153007113.57718,17929023734.39247,-27305962876.15051,-13926810156.387882,0.0,0.0,0.0,6438363782660543.0,3210590901031545.0,6
2058,7821393618.092165,3910912783.9982615,36270772505.66472,18136387810.705532,-28449378887.57255,-14225475026.707272,0.0,0.0,0.0,6597339861181997.0,3225359619176290.0,6
2059,7789640003.953655,3818661862.8480887,37379420655.7838,18324257352.22037,-29589780651.830143,-14505595489.372282,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0,6
2060,7751371314.38865,3725393789.4996853,38480251587.279205,18494029568.101227,-30728880272.890556,-14768635778.601542,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0,6
2061,7706094689.418959,3631013086.850941,38911433433.107506,18334568898.78883,-31205338743.68855,-14703555811.93789,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5,6
2062,7655387967.689451,3536392871.792754,39319640848.52517,18163638238.199387,-31664252880.835716,-14627245366.406631,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0,6
2063,7598943935.531667,3441488873.9322677,39707069991.16333,17982951414.087185,-32108126055.631664,-14541462540.154917,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0,6
2064,7536513092.073881,3346288767.959124,40075710374.27169,17794024617.88939,-32539197282.197815,-14447735849.930265,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5,6
2065,7467712178.438597,3250725940.9620333,40427338374.061264,17598187294.37008,-32959626195.62267,-14347461353.408047,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0,6
2066,7477281843.974076,3191070250.8598185,40822162586.67205,17421623435.402966,-33344880742.697975,-14230553184.543148,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5,6
2067,7487824827.380432,3132911437.984845,41210658082.04892,17242569778.078228,-33722833254.66849,-14109658340.093384,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0,6
2068,7499362510.660693,3076214522.735862,41594713742.823074,17062018578.621893,-34095351232.162384,-13985804055.886032,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5,6
2069,7509783873.676159,3020087580.904511,41973981536.45151,16879993151.82674,-34464197662.77535,-13859905570.92223,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0,6
2070,7519066059.297624,2964529849.4663877,42350061858.678925,16697289466.097525,-34830995799.3813,-13732759616.631138,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5,6
2071,7543188230.104102,2915725939.419271,42377340431.39922,16380435827.693314,-34834152201.29512,-13464709888.274042,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5,6
2072,7567761660.148653,2867867151.2773805,42370330036.539154,16056594163.165693,-34802568376.3905,-13188727011.888313,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0,6
2073,7592831241.696972,2820948510.5751038,42328787908.50719,15726324924.649014,-34735956666.81021,-12905376414.07391,0.0,0.0,0.0,9271443893035860.0,3367860428917026.5,6
2074,7613644795.184413,2773216986.295911,42286468311.44284,15402550994.48944,-34672823516.25843,-12629334008.193531,0.0,0.0,0.0,9475786516438372.0,3374596149774860.5,6
2075,7637405641.284169,2727325204.5855594,42257150468.342674,15090070759.538347,-34619744827.05851,-12362745554.952787,0.0,0.0,0.0,9684632851260672.0,3381345342074410.0,6
2076,7664177923.620571,2683221189.631971,42242338701.88297,14789001434.214937,-34578160778.262405,-12105780244.582966,0.0,0.0,0.0,9898082159302458.0,3388108032758559.0,6
2077,7694067871.061477,2640868265.6625524,42238826968.390945,14497815666.427979,-34544759097.32947,-11856947400.765427,0.0,0.0,0.0,1.0116235890093484e+16,3394884248824076.0,6
2078,7727181729.064052,2600229488.900256,42243550902.01248,14215134394.746078,-34516369172.94843,-11614904905.845821,0.0,0.0,0.0,1.0339197729111144e+16,3401674017321724.0,6
2079,7763437385.213393,2561205560.063579,42253360575.077675,13939642540.6071,-34489923189.86428,-11378436980.54352,0.0,0.0,0.0,1.0567073647060754e+16,3408477365356367.5,6
2080,7802939238.153118,2523762218.996824,42265420422.80335,13670216821.826122,-34462481184.65023,-11146454602.829298,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0,6
2081,7845340425.863225,2487721909.837517,42275862079.054756,13405484356.62836,-34430521653.19153,-10917762446.790844,0.0,0.0,0.0,1.1038003332025306e+16,3422124908727254.0,6
2082,7890757606.549971,2453062247.151516,42282035558.94228,13144550920.720572,-34391277952.39232,-10691488673.569056,0.0,0.0,0.0,1.1281280925463144e+16,3428969158544708.5,6
2083,7939308753.319341,2419760515.9550023,42281360312.71338,12886608825.081358,-34342051559.394043,-10466848309.126356,0.0,0.0,0.0,1.1529920357060352e+16,3435827096861798.0,6
2084,8023798025.446949,2397560144.9073844,42295045571.46997,12638019460.06105,-34271247546.02302,-10240459315.153666,0.0,0.0,0.0,1.1784039801729962e+16,3442698751055521.5,6
2085,8104120338.169779,2374079358.251086,42293891578.42051,12389877097.890406,-34189771240.250736,-10015797739.63932,0.0,0.0,0.0,1.204376003896009e+16,3449584148557632.5,6
2086,8180521131.137585,2349471329.9979157,42275855667.05145,12141758360.943811,-34095334535.913868,-9792287030.945896,0.0,0.0,0.0,1.2309204510218772e+16,3456483316854748.0,6
2087,8253278366.246605,2323889643.284666,42238935018.82198,11893288857.80144,-33985656652.57538,-9569399214.516773,0.0,0.0,0.0,1.2580499377623994e+16,3463396283488457.5,6
2088,8322704571.62444,2297488331.5215673,42181160698.79075,11644138474.63922,-33858456127.16631,-9346650143.117653,0.0,0.0,0.0,1.2857773583906828e+16,3470323076055434.5,6
2089,8394734260.6147,2271933506.664071,41976859990.48684,11360530513.082638,-33582125729.872147,-9088597006.418568,0.0,0.0,0.0,1.3141158913696134e+16,3477263722207545.5,6
2090,8462224219.855435,2245292989.7614465,41789172779.45399,11087975720.317278,-33326948559.59855,-8842682730.555832,0.0,0.0,0.0,1.3430790056153996e+16,3484218249651960.5,6
2091,8527290867.360314,2218193341.3844104,41616076622.312065,10825537148.204733,-33088785754.951748,-8607343806.820322,0.0,0.0,0.0,1.3726804668991632e+16,3491186686151264.5,6
2092,8590590694.440979,2190842593.1325283,41455699095.888885,10572370927.43006,-32865108401.447906,-8381528334.297531,0.0,0.0,0.0,1.4029343443896208e+16,3498169059523567.0,6
2093,8652590894.151712,2163386657.236718,41306547688.023155,10327777566.044561,-32653956793.871445,-8164390908.807843,0.0,0.0,0.0,1.433855017339968e+16,3505165397642614.0,6
2023,11661130484.288763,11661130484.288763,2651540206.87046,2651540206.87046,9009590277.418303,9009590277.418303,98059590277.4183,98059590277.4183,36.98212458680962,2100000000000000.0,2100000000000000.0,7
2024,17916283509.870007,17564983833.205887,2991457123.871422,2932801101.8347273,14924826385.998583,14632182731.371159,112984416663.41689,110769035944.52635,37.769024253035944,2186977799999999.8,2139899999999999.8,7
2025,8649917319.875374,8314030488.153954,3362547973.580077,3231976137.62022,5287369346.295296,5082054350.533733,118271786009.71219,113679148413.79488,35.17326353080673,2277558046520399.5,2180558099999999.5,7
2026,5897411003.252103,5557262104.3679495,3766769249.600578,3549510792.983636,2130641753.6515245,2007751311.3843136,120402427763.36371,113457896815.10478,31.964375778030732,2371889945691181.0,2221988703899999.2,7
2027,18491880515.731777,17083639233.087622,4206164845.5532637,3885846153.677902,14285715670.178514,13197793079.40972,134688143433.54222,124431025251.08107,32.02160361735081,2470128883461818.5,2264206489274099.0,7
2028,-3411511986.616804,-3089911514.382903,4675713742.026068,4234937994.098137,-8087225728.642872,-7324849508.48104,126600917704.89935,114666351718.06903,27.07627641251643,2572436681557039.5,2307226412570306.5,7
2029,15869729980.995342,14091866066.146084,5178415513.720413,4598284781.252735,10691314467.274927,9493581284.893349,137292232172.17429,121911573165.35318,26.51240168125041,2678981864033769.0,2351063714409142.0,7
2030,28314029871.196465,24649066901.948483,5715957797.838782,4976085241.436124,22598072073.35768,19672981660.51236,159890304245.53198,139194131822.62332,27.9726180459182,2789939934878319.5,2395733924982915.5,7
2031,8037564943.217578,6859984286.8513975,6216876611.14029,5306044326.485249,1820688332.0772874,1553939960.366149,161710992577.60928,138018775080.5851,26.011613659475298,2903214620967106.5,2439815429202601.0,7
2032,10183808298.563072,8521355220.460327,6746414534.174623,5645097887.230453,3437393764.388449,2876257333.2298746,165148386341.99774,138188781922.03882,24.47943059315766,3018717504990680.0,2483244143842407.5,7
2033,9304002927.774866,7632522983.833577,7525254294.843468,6173329566.9030485,1778748632.931398,1459193416.9305286,166927134974.92914,136938391379.71367,22.182258357609612,3136351130222557.5,2525955943116497.0,7
2034,8486300086.765787,6825217498.439898,8343651067.072455,6710490164.33766,142649019.69333202,114727334.1022377,167069783994.62247,134368052216.17445,20.0235823204484,3256008947634718.0,2567886811772230.5,7
2035,12807447897.273445,10098585263.617744,9217110793.16585,7267628958.991299,3590337104.107596,2830956304.626446,170660121098.73007,134564340830.28769,18.515576619223054,3377575297703607.5,2608973000760586.0,7
2036,-2524782856.3029413,-1951739266.686697,10148297649.225107,7844964157.044473,-12673080505.52805,-9796703423.73117,157987040593.20203,122129120919.68814,15.567836700696834,3500925428399838.0,2649151184972299.0,7
2037,23266175003.279797,17632852952.68612,11139958203.275541,8442696097.219967,12126216800.004255,9190156855.466152,170113257393.20627,128924589129.6702,15.270547186001735,3625925550709803.0,2688358622509889.0,7
2038,6270929027.127346,4659392637.868191,12190710346.18854,9057877356.241522,-5919781319.061193,-4398484718.373331,164193476074.14508,121998171291.10725,13.468737375544375,3752432932877891.5,2726533314949529.5,7
2039,13562694706.907648,9879688181.93108,13290795620.821407,9681624430.91883,271899086.0862417,198063751.012249,164465375160.23132,119804114036.41151,12.374381478154648,3880296034384485.0,2763614168032843.5,7
2040,-7151284863.100364,-5107179922.748461,14442386005.595083,10314211397.863508,-21593670868.695446,-15421391320.611969,142871704291.5359,102033622440.57579,9.89252774688243,4009354680488112.5,2799541152217270.0,7
2041,11438228233.47539,8008582730.66427,15577755222.343004,10906911359.843147,-4139526988.867615,-2898328629.178877,138732177302.66827,97134634547.8562,8.905787472105494,4140252092096688.0,2834255462504764.0,7
2042,28286366057.633343,19416631744.07978,16764278337.156406,11507516315.97369,11522087720.476936,7909115428.106091,150254265023.1452,103139149298.55334,8.962763681280638,4272889208119097.5,2867699676962320.5,7
2043,8350173971.437571,5619427709.242544,17999304216.191505,12113015753.387877,-9649130244.753935,-6493588044.145332,140605134778.39127,94623224993.65205,7.811698335089426,4407160478595033.0,2899817913344299.0,7
